Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AO-A129-01	1	3301765	28926692	13607	-0.2623
TCGA-AO-A129-01	1	28935501	39912235	5995	-0.0604
TCGA-AO-A129-01	1	39915619	44647654	2758	0.0961
TCGA-AO-A129-01	1	44650765	46674003	833	0.2989
TCGA-AO-A129-01	1	46680736	54539340	4164	0.0857
TCGA-AO-A129-01	1	54546686	62766211	5991	0.2541
TCGA-AO-A129-01	1	62766642	64768802	1441	0.1172
TCGA-AO-A129-01	1	64769779	65387966	543	0.3772
TCGA-AO-A129-01	1	65491255	96017836	18618	0.1016
TCGA-AO-A129-01	1	96017921	102924358	4127	0.0639
TCGA-AO-A129-01	1	102924771	104271247	518	0.0899
TCGA-AO-A129-01	1	104271920	104850859	248	0.277
TCGA-AO-A129-01	1	104851593	119240600	8733	-0.131
TCGA-AO-A129-01	1	119241480	119984772	501	0.1119
TCGA-AO-A129-01	1	146716041	151344117	506	0.6736
TCGA-AO-A129-01	1	151344772	151349632	8	0.152
TCGA-AO-A129-01	1	151355351	151808252	218	0.6684
TCGA-AO-A129-01	1	151811260	151837380	13	1.328
TCGA-AO-A129-01	1	151841297	157300721	2758	0.7027
TCGA-AO-A129-01	1	157302724	158544421	887	0.8186
TCGA-AO-A129-01	1	158544436	158545233	10	0.2501
TCGA-AO-A129-01	1	158545295	161306153	1717	0.8238
TCGA-AO-A129-01	1	161307385	163403671	1482	0.7513
TCGA-AO-A129-01	1	163404919	164817008	963	0.3088
TCGA-AO-A129-01	1	164817915	164819401	3	-0.6725
TCGA-AO-A129-01	1	164820246	168602593	2907	0.3072
TCGA-AO-A129-01	1	168603936	168605460	4	-0.7705
TCGA-AO-A129-01	1	168610854	170906273	1699	0.3151
TCGA-AO-A129-01	1	170906290	176806542	3270	0.22
TCGA-AO-A129-01	1	176808612	181062725	2763	-0.0607
TCGA-AO-A129-01	1	181062798	184609993	2526	0.3493
TCGA-AO-A129-01	1	184614083	200888646	9498	0.3219
TCGA-AO-A129-01	1	200894147	201943780	782	0.372
TCGA-AO-A129-01	1	201945136	203025246	617	0.4314
TCGA-AO-A129-01	1	203025607	203113177	48	0.6307
TCGA-AO-A129-01	1	203114023	204080714	595	0.418
TCGA-AO-A129-01	1	204086290	204800092	580	0.5188
TCGA-AO-A129-01	1	204800684	204940522	111	0.6646
TCGA-AO-A129-01	1	204941448	206403492	734	0.5383
TCGA-AO-A129-01	1	206410277	211237784	3545	0.6494
TCGA-AO-A129-01	1	211242608	211276586	13	0.4831
TCGA-AO-A129-01	1	211282281	214379081	2019	0.3642
TCGA-AO-A129-01	1	214383403	214807586	332	0.1892
TCGA-AO-A129-01	1	214808077	215232569	311	0.09
TCGA-AO-A129-01	1	215232885	215359343	90	0.3158
TCGA-AO-A129-01	1	215367220	215651825	102	0.1879
TCGA-AO-A129-01	1	215652037	215908685	183	0.2807
TCGA-AO-A129-01	1	215908835	221405132	3739	0.6846
TCGA-AO-A129-01	1	221406716	221407063	2	-0.8466
TCGA-AO-A129-01	1	221407528	223203887	1122	0.677
TCGA-AO-A129-01	1	223204264	224299155	609	0.8453
TCGA-AO-A129-01	1	224299187	226817303	1444	0.7466
TCGA-AO-A129-01	1	226819271	226819481	3	-0.5993
TCGA-AO-A129-01	1	226825995	229786621	1638	0.7472
TCGA-AO-A129-01	1	229786849	229789777	2	-0.4493
TCGA-AO-A129-01	1	229791098	232243673	1644	0.7503
TCGA-AO-A129-01	1	232243750	245262758	9106	0.8131
TCGA-AO-A129-01	1	245263357	245333157	46	1.1276
TCGA-AO-A129-01	1	245334493	247650984	973	0.8357
TCGA-AO-A129-01	2	480597	22408421	14270	0.0187
TCGA-AO-A129-01	2	22414692	25601532	1791	0.2051
TCGA-AO-A129-01	2	25602234	25708898	55	0.6399
TCGA-AO-A129-01	2	25715208	37120944	6159	0.2237
TCGA-AO-A129-01	2	37125868	40505766	1683	0.0199
TCGA-AO-A129-01	2	40505797	40505811	2	-1.7142
TCGA-AO-A129-01	2	40508594	88660343	26701	0.0599
TCGA-AO-A129-01	2	88663805	167812832	38808	0.0821
TCGA-AO-A129-01	2	167813955	168673777	603	0.0575
TCGA-AO-A129-01	2	168674036	191008827	12641	-0.1615
TCGA-AO-A129-01	2	191009941	218752244	15602	0.0702
TCGA-AO-A129-01	2	218754202	218928766	75	0.2617
TCGA-AO-A129-01	2	218933012	219897687	524	0.0799
TCGA-AO-A129-01	2	219898563	220041804	98	0.2742
TCGA-AO-A129-01	2	220041822	235211241	9361	0.0666
TCGA-AO-A129-01	2	235213297	235527875	235	0.3859
TCGA-AO-A129-01	2	235527911	241537572	3537	0.0511
TCGA-AO-A129-01	3	2170634	9270523	4210	0.0088
TCGA-AO-A129-01	3	9270543	9360059	55	0.2823
TCGA-AO-A129-01	3	9362746	26887965	10330	0.0229
TCGA-AO-A129-01	3	26888788	61798162	19499	-0.3122
TCGA-AO-A129-01	3	61803360	62111962	274	-0.5341
TCGA-AO-A129-01	3	62114587	65627027	2871	-0.3162
TCGA-AO-A129-01	3	65628282	89218461	13511	0.0576
TCGA-AO-A129-01	3	89218949	100185939	3664	0.0052
TCGA-AO-A129-01	3	100187406	100291165	56	0.2075
TCGA-AO-A129-01	3	100305775	100348991	27	0.0305
TCGA-AO-A129-01	3	100352372	100375364	16	0.3206
TCGA-AO-A129-01	3	100376328	122298661	12542	0.0041
TCGA-AO-A129-01	3	122302345	122363991	57	0.2698
TCGA-AO-A129-01	3	122365107	136727117	8373	0.0074
TCGA-AO-A129-01	3	136728604	141903213	2980	0.0937
TCGA-AO-A129-01	3	141903527	146101936	2042	0.0244
TCGA-AO-A129-01	3	146107256	146351674	165	0.3843
TCGA-AO-A129-01	3	146352093	149211769	1160	0.007
TCGA-AO-A129-01	3	149213737	149683933	318	0.3024
TCGA-AO-A129-01	3	149685460	149732159	31	0.4889
TCGA-AO-A129-01	3	149732661	149861514	55	0.2791
TCGA-AO-A129-01	3	149872735	149957458	45	0.0205
TCGA-AO-A129-01	3	149959639	149963907	4	-0.4152
TCGA-AO-A129-01	3	149964224	150028282	35	0.0579
TCGA-AO-A129-01	3	150029903	151188369	651	-0.1541
TCGA-AO-A129-01	3	151191281	151413606	200	0.0709
TCGA-AO-A129-01	3	151415254	153818448	1443	-0.1419
TCGA-AO-A129-01	3	153818915	153826614	8	0.4278
TCGA-AO-A129-01	3	153830645	156365024	1181	-0.1422
TCGA-AO-A129-01	3	156379234	156393844	18	0.3174
TCGA-AO-A129-01	3	156397109	157091573	458	0.0432
TCGA-AO-A129-01	3	157094152	160961478	2188	0.4022
TCGA-AO-A129-01	3	160963452	160968000	2	-0.6766
TCGA-AO-A129-01	3	160968648	162650814	801	0.3799
TCGA-AO-A129-01	3	162651289	162665844	10	0.9141
TCGA-AO-A129-01	3	162666549	172506285	4775	0.3856
TCGA-AO-A129-01	3	172506936	172524198	27	0.8906
TCGA-AO-A129-01	3	172527218	179016782	3095	0.3897
TCGA-AO-A129-01	3	179017424	182394436	1882	0.3473
TCGA-AO-A129-01	3	182398526	185965144	1447	0.3893
TCGA-AO-A129-01	3	185965525	187132608	910	0.5961
TCGA-AO-A129-01	3	187135895	188306980	864	0.7999
TCGA-AO-A129-01	3	188312675	189601908	881	0.6264
TCGA-AO-A129-01	3	189601957	191358616	1184	0.5702
TCGA-AO-A129-01	3	191358639	194093059	1591	0.6555
TCGA-AO-A129-01	3	194095020	194373971	170	0.7845
TCGA-AO-A129-01	3	194374530	196770477	854	0.6624
TCGA-AO-A129-01	3	197242908	197812401	151	0.0801
TCGA-AO-A129-01	4	1059384	3751070	1083	-0.1685
TCGA-AO-A129-01	4	3751707	4548721	308	0.1849
TCGA-AO-A129-01	4	4549814	4554359	6	0.7332
TCGA-AO-A129-01	4	4554808	4572436	16	0.1663
TCGA-AO-A129-01	4	4574095	12840591	5331	-0.1816
TCGA-AO-A129-01	4	12841793	13381594	436	0.008
