logFC	AveExpr	t	P.Value	adj.P.Val	B
FOS	2.11183613249431	6.33392891599327	8.93587205963826	9.35153796819723e-15	1.17189354250239e-10	22.778084282547
DUSP1	1.75572465588503	6.668465525739	8.88499589862729	1.22320707948686e-14	1.17189354250239e-10	22.5254846687619
JUN	1.10645448963359	7.25728915122867	7.12004404668531	1.0971114056527e-10	5.53744622752291e-07	13.9507618869821
SHISA5	0.786640391364657	6.66154933149926	7.10957416459699	1.15598272063523e-10	5.53744622752291e-07	13.9014943242825
ZFP36	1.31553561464024	7.14113828035553	7.02950787961649	1.72253227628569e-10	6.601088189182e-07	13.5255747844476
LFNG	1.32815165799785	3.95573494416462	6.93315143411603	2.7778313144498e-10	8.87100430269545e-07	13.0752076447233
DUSP5	1.15701659174924	4.81521235513717	6.80004192201456	5.35405097111415e-10	1.46555672367883e-06	12.4568884090013
HOXD8	0.887806427264358	2.41470068322654	6.74735887454662	6.93265654530328e-10	1.66045790080695e-06	12.2134440073262
IGFBP6	1.37748330847923	3.83725074991523	6.70195204369141	8.65664583350731e-10	1.84299989795371e-06	12.004223437253
PEAR1	0.933577524200988	1.82420273988208	6.6677362431275	1.02296641465198e-09	1.96010594711465e-06	11.8469420636414
TGFB3	1.2038359881663	4.18957038760795	6.59382526455525	1.465539184375e-09	2.5528360283463e-06	11.5083136476043
SMIM3	0.932381079642561	4.41795478436935	6.55699551655453	1.75202492117871e-09	2.7606527215493e-06	11.3401592849688
HOXD9	0.971533209246375	2.62538469263677	6.54320182320552	1.87299647096399e-09	2.7606527215493e-06	11.2772827460723
THSD1	0.748427153598854	2.09183234598726	6.51585201376941	2.13775281127302e-09	2.92582011548588e-06	11.1527780879334
THBD	1.07809861519689	3.85545790741068	6.4652971726408	2.72795284851528e-09	3.48468696869342e-06	10.9232232025412
LIMA1	1.04467658806969	4.99381640254713	6.44773049025568	2.96857307890374e-09	3.55505179780466e-06	10.8436383157459
ITGA5	1.08276501830396	5.40586380700134	6.40924941504335	3.57124652378588e-09	4.02521497895654e-06	10.669631449584
ZCCHC24	1.09587030656904	3.69794457091631	6.38177920944463	4.07379761258109e-09	4.33655755859257e-06	10.5456942202125
NDN	1.25665501939762	3.7974495709799	6.35454282264884	4.64076495614949e-09	4.68008933288318e-06	10.4230447703811
FOSB	1.74931610630753	3.24005737844482	6.33918940445494	4.99395353043382e-09	4.78445717983212e-06	10.3540091764757
SCN1B	0.773000621573642	1.93741537336462	6.30425385582627	5.8993569365147e-09	5.38274182193134e-06	10.1972036060308
EHD2	1.07309938771866	5.64018856022299	6.25099836144981	7.59934922358338e-09	6.55321705668907e-06	9.95892790401944
MMP28	1.17551604803193	1.74456295128015	6.24372497311227	7.86618612305457e-09	6.55321705668907e-06	9.92645717130128
CH25H	1.17300189514106	2.17061071130232	6.23388081327286	8.24208832003629e-09	6.58027726250897e-06	9.88253743521036
SEMA6B	0.941842128563706	2.91696927185628	6.16981499800313	1.11590800192689e-08	8.55276528996847e-06	9.59749507466322
CCDC80	1.31330123870248	4.85528354454492	6.13214334182513	1.33266943871752e-08	9.6526218594395e-06	9.43053193056102
GRASP	0.868247349829027	2.65264364724376	6.11504668703683	1.44424245003913e-08	9.6526218594395e-06	9.35491858923608
JUNB	1.11248483550919	7.4827891892891	6.11088985697973	1.47273028956095e-08	9.6526218594395e-06	9.3365493983094
ZNF703	1.32088707111581	4.72022094084761	6.11054461525242	1.47512104408217e-08	9.6526218594395e-06	9.33502403025598
CNRIP1	0.803715208182854	2.65188081653302	6.1025038154916	1.5318957002935e-08	9.6526218594395e-06	9.29950933710926
MMRN2	1.02061120075375	3.6947377066788	6.09183269988306	1.61057470314784e-08	9.6526218594395e-06	9.25241163834554
TPST2	0.777490534442381	3.69869903102957	6.08683471535824	1.64877978504781e-08	9.6526218594395e-06	9.23036630118189
IGFBP4	1.18710274963695	8.61413378355242	6.0850777192055	1.66242117510309e-08	9.6526218594395e-06	9.22261852952303
CFH	1.02755032883514	3.93388581540421	6.07550885131197	1.73868672866295e-08	9.79726639123663e-06	9.18044189745679
SH3TC1	0.790989344608498	2.25717485716146	6.05890388021079	1.87928395763722e-08	9.79726639123663e-06	9.10732836391254
EGR1	1.40040152838766	7.01100554050565	6.05860072726192	1.88195208906353e-08	9.79726639123663e-06	9.10599444787197
HDAC7	0.599893786413512	4.48640461915765	6.05747893774445	1.89185771345836e-08	9.79726639123663e-06	9.10105869592861
MAF	0.952951246827934	3.94805768502424	6.04987697092145	1.96034936572804e-08	9.88480373597761e-06	9.06762255087748
CD248	1.11691564867151	5.46033742072843	6.02137670200838	2.23953686881035e-08	1.10030169085321e-05	8.94245031626058
TBC1D10A	0.623910298033616	3.05362292963097	6.01380773762925	2.32003113725252e-08	1.11135291552239e-05	8.90925622785203
SLC7A8	1.18095603800547	3.70380977913655	6.00480458749263	2.41948862069471e-08	1.11671239749662e-05	8.86979911689932
TMEM119	1.23092237437326	4.70209100557579	5.99781435426053	2.4995901421717e-08	1.11671239749662e-05	8.83918383622072
HSPB8	1.48843087310165	3.29067766124529	5.99719097327879	2.50685887258111e-08	1.11671239749662e-05	8.8364544530946
PDE2A	0.761722507460383	1.54441368598224	5.99232285912433	2.56434139605715e-08	1.11671239749662e-05	8.81514493068736
LRRC32	1.05599975694569	4.25737974678685	5.95988337022795	2.98188283929678e-08	1.25391358924802e-05	8.67336403329908
SCN3B	0.347145505764662	0.353285670721548	5.95784223741456	3.01028261079323e-08	1.25391358924802e-05	8.66445577691091
RAPGEF3	0.696296926355832	1.41554919894629	5.94133733483557	3.24990821284904e-08	1.32358891208293e-05	8.59247817624131
STARD8	0.744832167849346	2.4037250710377	5.93701446149912	3.31570731068214e-08	1.32358891208293e-05	8.57364267885322
C2CD4B	1.07842161531903	1.27119331733405	5.89663766758651	3.99704530322003e-08	1.53161952073976e-05	8.39804676703412
SFRP4	1.83203427674219	5.18844423588064	5.89439179012516	4.03873969705874e-08	1.53161952073976e-05	8.38829733890321
HBEGF	0.946498315828094	3.59849379857573	5.89030342259894	4.11573942718313e-08	1.53161952073976e-05	8.37055442513993
HTRA1	1.28672756004368	7.38389728276563	5.88798790743375	4.15998736115446e-08	1.53161952073976e-05	8.36050819506698
HOXB2	1.38615926973497	3.38503655876538	5.88403978841748	4.23651347002804e-08	1.53161952073976e-05	8.34338327104347
GALNT10	0.930241684948159	3.95062144910823	5.87998669985667	4.31651259721711e-08	1.53164255324587e-05	8.32580910439195
MOCS1	0.830807589015535	2.7463169252295	5.86904226058995	4.54002004138487e-08	1.56197998493933e-05	8.27838483041331
PRDM8	0.555150648998578	1.0482311049398	5.86784984869572	4.56504770923241e-08	1.56197998493933e-05	8.2732206055832
CAVIN2	1.21046873978375	2.04718197054421	5.86248415912197	4.67935604182045e-08	1.57300247574248e-05	8.24998892045833
DIPK2B	0.827312546958456	2.86861997588182	5.85376468142647	4.87113584208339e-08	1.60923851500275e-05	8.21225955981539
ID3	1.08597812998465	5.80453503990031	5.81738635244566	5.75802302813956e-08	1.86999117359631e-05	8.05516054304269
FBXL7	1.19703265651826	2.97259740420866	5.794262320674	6.40228705323388e-08	2.03318447699332e-05	7.95556254882178
TNXB	0.918672257030534	1.30674657583976	5.79187349861829	6.4727442772607e-08	2.03318447699332e-05	7.94528531733979
ACVRL1	0.784990291101048	3.80253912132433	5.78115486383013	6.79836915246354e-08	2.10102502145732e-05	7.89919853215416
ACKR1	1.87991212326197	3.33246742764035	5.77140115534554	7.10861999680907e-08	2.12330977276553e-05	7.85729925797184
HOXD1	0.408365123460697	0.402057498136523	5.76927670786134	7.17801625356556e-08	2.12330977276553e-05	7.84817810428474
